Batch ID,Test Date,Material ,Supplier,Heat Treatment,Sample Thickness (mm),Hardness (HRC),Tensile Strength (MPa),Yield Strength (MPa),Elongation (%),Carbon Equiv (%),Test Temp (C),Cycles to Failure,Defect Count,Operator,Test Machine,Pass/Fail,Notes
B2023-00697,08/03/2023,Steel 4140,Supplier D,As-Received,9.46,33.4,982.6,817.8,13.8,0.323,25.6,,1.0,T. Nguyen,UTM-3,Pass,
B2023-01237,11/22/2023,Steel 4140,Supplier C,As-Received,21.15,30.1,904.9,755.6,24.0,0.334,22.5,18483.0,1.0,J. Kim,HT-4,Fail,
B2023-00698,08/21/2023,Copper C110,Supplier B,Normalized,6.63,9.5,197.3,170.9,35.2,0.415,24.2,11298.0,2.0,T. Nguyen,HT-4,Pass,
B2023-00814,2023-04-15,Stainless 304,Supplier D,Annealed,3.73,20.2 HRC,589.5,478.9,,0.298,24.6,17959.0,2.0,M. Chen,HT-4,Fail,
B2023-00108,2023-11-10,Stainless 304,Supplier A,Normalized,17.89,19.9,582.8,493.5,45.5,0.243,32.6,13550.0,3.0,A. Silva,UTM-1,Pass,
B2023-00294,02/22/2023,Stainless 304,Supplier C,Normalized,10.2,24.6,515.7,410.5,45.3,0.258,139.9,4242.0,1.0,R. Patel,UTM-2,Fail,
B2022-00608,2022-10-30,Aluminum 6061,Supplier B,Normalized,11.5,13.5 HRC,261.7,209.4,15.3,0.363,25.1,,3.0,M. Chen,HT-4,Pass,
B2022-01196,2022-03-22,Copper C110,Supplier A,Normalized,3.11,10.5HRC,240.2,204.8,33.8,0.272,22.6,,1.0,R. Patel,UTM-2,Pass,Retest requested
B2023-00739,03-Jan-2023,Steel 4140,Supplier B,Normalized,16.74,31.8,825.9,647.0,20.2,0.291,23.0,,2.0,J. Kim,UTM-1,Fail,
B2022-00661,01-Jun-2022,Stainless 304, Supplier C,As-Received,11.85,22.1,435.0,345.3,48.9,0.263,165.5,,0.0,J. Kim,UTM-3,Pass,
B2022-00356,2022-07-17,COPPER C110 ,Supplier C,Quenched & Tempered,9.52,7.2 HRC,244.0,202.4,31.9,0.494,16.6,26988.0,2.0,T. Nguyen,UTM-3,Pass,
B2024-00191,2024-04-13,Stainless 304,Supplier D,As-Received,9.23,21.5,640.2,507.6,40.4,0.501,16.2,32050.0,0.0,T. Nguyen,UTM-2,Pass,
B2022-00187,10-Jul-2022, Stainless304,Supplier C,Annealed,12.03,22.7,578.1,490.5,41.6,0.358,20.2,44192.0,0.0,T. Nguyen,UTM-2,Pass,
B2022-01352,06/27/2022,Steel 4140,SUPPLIER D ,Normalized,11.44,28.4,919.7,717.1,17.0,0.371,21.1,20968.0,1.0,M. Chen,UTM-2,Fail,
B2024-00487,02-Aug-2024,Steel 4140,Supplier B,Normalized,21.71,28.5,743.9,573.5,18.2,0.347,22.2,,2.0,T. Nguyen,UTM-1,Fail,
B2023-00513,26-Jun-2023,Aluminum 6061,Supplier C,Annealed,2.16,13.7,324.8,249.9,13.3,0.424,24.4,,1.0,M. Chen,UTM-3,Pass,
B2022-00916,2022-01-05,Titanium-Ti-6Al-4V,Supplier C,As-Received,13.83,36.2,929.7,695.8,8.2,0.156,26.5,,1.0,A. Silva,UTM-3,Pass,
B2022-01140,2022-06-28,Titanium Ti-6Al-4V,Supplier A,Quenched & Tempered,4.64,35.3,1090.6,890.0,11.5,0.331,,,3.0,T. Nguyen,UTM-2,Pass,
B2022-00112,2022-10-16,Titanium Ti-6Al-4V,Supplier C,Annealed,8.89,34.3,881.3,761.1,10.2,0.221,29.5,12990.0,1.0,M. Chen,UTM-3,Pass,
B2023-00160,09/20/2023,Copper C110,Supplier C,Quenched & Tempered,9.72,10.1,261.1,229.8,35.6,0.387,19.6,,1.0,J. Kim,UTM-1,Pass,
B2022-00120,2022-08-31,Titanium Ti-6Al-4V,Supplier C,Normalized,6.54,39.3 hrc,1039.4,815.7,7.9,0.332,19.8,,2.0,J. Kim,UTM-2,Pass,
B2023-01176,11-Sep-2023, Aluminum6061,Supplier D,As-Received,,15.4 HRC,342.1,275.8,11.7,0.566,24.1,,1.0,A. Silva,UTM-3,Fail,
B2023-00377,26-Jun-2023,Copper C110,Supplier B,Annealed,8.71,9.2 HRC,169.3,146.6,36.7,0.391,20.4,,3.0,T. Nguyen,UTM-3,Fail,
B2023-00587,06/07/2023,Copper C110,Supplier D,As-Received,6.22,9.2,208.9,166.0,34.2,0.276,19.9,,0.0,R. Patel,UTM-3,Fail,
B2022-00231,2022-11-26,Steel 4140,Supplier C,Normalized,14.8,30.1,959.6,824.9,20.3,0.416,14.5,30042.0,1.0,M. Chen,HT-4,Pass,
B2024-01081,2024-04-11,Titanium Ti-6Al-4V,Supplier A,As-Received,18.54,35.8 hrc,960.7,823.8,11.4,0.192,21.9,,2.0,R. Patel,HT-4,Pass,
B2023-00001,19-Feb-2023,Steel 4140,Supplier B,As-Received,13.1,32.3,744.8,564.0,21.5,0.347,17.1,4185.0,6.0,A. Silva,UTM-1,Fail,
B2023-00531,2023-03-22,Aluminum 6061,Supplier B,Annealed,5.48,12.7,223.7,168.4,14.9,0.39,28.6,,3.0,A. Silva,HT-4,Fail,
B2023-01055,31-Jul-2023,TITANIUM TI-6AL-4V ,Supplier A,Annealed,17.19,33.9,860.4,703.6,10.1,0.337,28.8,,2.0,J. Kim,UTM-1,Fail,
B2024-00781,02/14/2024,Aluminum 6061,Supplier B,Normalized,10.51,17.3,266.4,203.5,17.5,0.259,23.5,,3.0,R. Patel,UTM-2,Fail,
B2023-00684,20-Dec-2023,Titanium Ti-6Al-4V,Supplier D,As-Received,5.76,40.9 HRC,1034.8,837.4,11.5,0.333,25.8,,0.0,R. Patel,UTM-3,Pass,
B2022-01091,04/17/2022,Copper C110,Supplier B,Annealed,2.03,7.3,153.5,120.6,34.9,0.271,25.2,18732.0,2.0,M. Chen,HT-4,Fail,
B2024-00183,2024-01-20,Steel 4140,Supplier D,Normalized,21.58,31.7,966.2,873.0,16.5,0.282,20.6,,0.0,R. Patel,UTM-2,Pass,
B2022-01073,2022-07-08,titanium ti-6al-4v,Supplier A,As-Received,18.33,34.5HRC,907.7,766.9,10.8,0.263,24.1,,1.0,A. Silva,UTM-2,Pass,
B2023-00791,12/08/2023,Titanium-Ti-6Al-4V,Supplier B,Normalized,12.03,37.2 HRC,838.0,716.2,12.9,0.329,22.0,,1.0,T. Nguyen,UTM-1,Fail,
B2023-00244,06/09/2023,Stainless 304,Supplier D,As-Received,5.71,22.5,645.5,538.6,45.0,0.353,21.7,,1.0,T. Nguyen,UTM-3,Pass,
B2024-00443,29-May-2024,Aluminum 6061,Supplier D,Quenched & Tempered,6.48,17.0HRC,378.9,316.7,11.4,0.363,19.3,40212.0,2.0,A. Silva,UTM-1,Pass,
B2023-00036,11-Oct-2023,TITANIUM TI-6AL-4V ,supplier b,As-Received,8.67,39.3,784.0,637.2,12.7,0.219,15.1,,6.0,J. Kim,HT-4,Fail,
B2022-00973,06-Nov-2022,Steel 4140,Supplier C,Quenched & Tempered,7.91,31.2,1057.8,903.5,15.9,0.343,20.9,5504.0,6.0,M. Chen,UTM-3,Fail,
B2022-00713,03/04/2022,Steel 4140,Supplier C,Normalized,20.25,29.1,908.9,782.6,18.4,0.271,30.4,,3.0,M. Chen,UTM-3,Pass,
B2024-00667,24-Feb-2024,Copper C110,Supplier A,Normalized,7.52,6.2,204.1,163.4,31.8,0.293,24.5,11522.0,2.0,J. Kim,UTM-3,Pass,
B2023-00153,06/20/2023,Steel 4140,Supplier C,Annealed,22.28,28.8,871.9,789.4,18.0,0.302,22.5,,2.0,T. Nguyen,UTM-2,Fail,
B2022-00695,15-Mar-2022,Copper C110,Supplier D,Quenched & Tempered,5.15,9.8,272.4,224.5,32.2,0.446,24.7,69554.0,1.0,T. Nguyen,UTM-3,Pass,
B2023-01149,2023-08-24,Steel 4140,Supplier C,Normalized,16.34,30.7,938.5,734.4,14.4,0.283,15.7,18990.0,2.0,J. Kim,HT-4,Pass,
B2024-00433,27-Jun-2024,Titanium Ti-6Al-4V,Supplier A,Quenched & Tempered,3.29,39.3 HRC,1141.0,902.9,6.8,0.25,20.8,108657.0,1.0,T. Nguyen,UTM-3,Pass,
B2022-00371,2022-11-08,Stainless 304,Supplier A,Normalized,6.59,25.2,680.9,531.9,45.0,0.173,26.6,43877.0,1.0,J. Kim,UTM-1,Pass,
B2022-00252,2022-10-16,Aluminum 6061,Supplier A,As-Received,11.27,14.5,315.7,269.1,15.8,0.307,20.0,,3.0,T. Nguyen,UTM-2,Pass,
B2023-00705,2023-01-14,Steel 4140,Supplier B,Quenched & Tempered,7.7,32.3,793.1,677.9,17.9,0.318,19.6,,1.0,A. Silva,UTM-3,Fail,
B2022-01203,2022-08-24,Stainless 304,Supplier C,As-Received,13.49,17.2,501.6,410.2,44.5,0.29,,17873.0,1.0,M. Chen,UTM-1,Fail,Surface porosity observed
B2024-00397,06-May-2024,Copper C110,Supplier B,As-Received,4.88,9.3 hrc,208.5,169.2,34.6,0.462,28.3,,0.0,M. Chen,UTM-2,Pass,Grain flow irregular near edge
B2024-00031,30-May-2024,Titanium Ti-6Al-4V,Supplier_D,Quenched & Tempered,11.72,38.6,1059.6,938.4,9.1,0.353,20.9,,1.0,R. Patel,UTM-2,Pass,
B2022-00250,07/23/2022,Stainless 304,Supplier D,Annealed,10.85,22.8,636.4,518.1,43.5,0.365,25.3,,0.0,A. Silva,UTM-3,Pass,
B2023-00115,03/16/2023,Titanium Ti-6Al-4V,Supplier D,As-Received,14.04,36.1,952.8,848.8,6.1,0.335,24.8,,1.0,T. Nguyen,UTM-3,Pass,Sample slipped in grips - discard?
B2023-00161,2023-05-21,Steel 4140,Supplier B,As-Received,12.92,32.5 hrc,774.5,626.0,19.0,0.446,15.2,,5.0,R. Patel,UTM-3,Fail,
B2023-00085,22-Dec-2023,Titanium Ti-6Al-4V,Supplier D,Normalized,14.53,35.8 hrc,1022.2,837.9,,0.446,20.5,,0.0,T. Nguyen,UTM-1,Pass,
B2023-00735,2023-07-17,Copper C110,Supplier A,Annealed,8.1,5.4 HRC,195.5,144.5,40.0,0.352,23.6,15172.0,0.0,A. Silva,UTM-2,Pass,
B2023-01055,07/31/2023,Titanium Ti-6Al-4V,Supplier A,Annealed,8.89,31.5 hrc,894.3,720.9,,0.286,29.1,7720.0,0.0,J. Kim,UTM-1,Pass,
B2022-01398,10/02/2022,aluminum 6061,Supplier A,Normalized,13.21,15.8HRC,368.8,304.1,14.5,0.496,25.7,62933.0,0.0,M. Chen,UTM-1,Pass,
B2024-00818,27-Mar-2024,Steel 4140,SUPPLIER C ,Annealed,9.74,28.8HRC,799.6,,23.5,0.203,21.9,17659.0,,T. Nguyen,UTM-2,Fail,
B2023-00660,10/10/2023,Titanium Ti-6Al-4V,Supplier C,Annealed,3.17,39.6,987.2,831.4,14.2,0.493,23.0,,3.0,T. Nguyen,UTM-1,Pass,
B2022-01306,10/06/2022,Titanium Ti-6Al-4V,Supplier D,Quenched & Tempered,18.17,35.8 HRC,1067.7,826.0,5.8,0.34,20.1,100994.0,0.0,A. Silva,UTM-1,Pass,
B2022-00120,2022-09-02,Titanium Ti-6Al-4V,Supplier C,Normalized,16.59,37.8,966.2,772.0,10.2,0.372,24.3,,2.0,J. Kim,UTM-1,Pass,
B2024-00284,02/26/2024,Titanium Ti-6Al-4V,Supplier A,Quenched & Tempered,3.59,34.8,1047.7,837.2,10.1,0.261,20.8,40486.0,3.0,M. Chen,HT-4,Pass,Slight misalignment during test
B2022-00924,03/02/2022,Aluminum 6061,SUPPLIER C ,As-Received,13.95,16.1,326.6,278.1,16.9,0.377,23.2,12920.0,1.0,M. Chen,UTM-3,Pass,
B2022-00265,2022-03-13,titanium ti-6al-4v,Supplier A,Annealed,14.5,36.1,942.8,834.0,10.1,0.332,25.5,,2.0,R. Patel,UTM-2,Pass,
B2023-00626,29-Aug-2023,Titanium Ti-6Al-4V,Supplier C,Annealed,17.13,33.3,818.3,738.2,8.3,0.295,24.3,42829.0,0.0,M. Chen,HT-4,Pass,
B2024-01083,24-Jan-2024,Aluminum 6061,Supplier C,Normalized,5.71,11.7 hrc,292.0,,14.9,0.336,19.1,48526.0,0.0,A. Silva,HT-4,Pass,
B2024-00376,2024-01-06,TITANIUM TI-6AL-4V ,Supplier B,Normalized,7.83,36.0,834.8,674.4,12.6,0.451,24.9,24492.0,4.0,M. Chen,UTM-3,Pass,
B2023-00568,10/17/2023, Stainless304,Supplier B,Quenched & Tempered,17.69,22.3,529.7,420.6,44.2,0.177,22.7,2444.0,4.0,J. Kim,UTM-1,Fail,
B2023-00071,07-Jun-2023,Copper C110,Supplier C,As-Received,2.63,8.1,209.8,184.0,33.4,0.363,19.2,40131.0,2.0,M. Chen,HT-4,Pass,
B2022-01103,08/26/2022,Titanium Ti-6Al-4V,Supplier C,Normalized,3.27,32.1,935.1,777.2,13.2,0.351,21.3,,0.0,J. Kim,UTM-2,Pass,Grain flow irregular near edge
B2022-00264,2022-02-25, TitaniumTi6Al4V,Supplier D,As-Received,16.58,39.5,1077.1,876.6,7.9,0.431,23.3,,0.0,A. Silva,HT-4,Pass,
B2022-01217,09/30/2022,Copper C110,Supplier D,Quenched & Tempered,7.44,8.2,241.2,213.1,36.2,0.305,21.6,36209.0,1.0,A. Silva,UTM-3,Pass,
B2023-00294,02/23/2023,Stainless 304,Supplier C,Normalized,4.27,21.8 HRC,522.2,443.2,46.0,0.278,141.5,,0.0,T. Nguyen,UTM-1,Fail,
B2024-01159,2024-06-05,Aluminum 6061, Supplier B,Normalized,10.29,14.8 hrc,277.9,227.1,17.9,0.452,21.1,16762.0,3.0,A. Silva,UTM-3,Fail,
B2022-00228,11/26/2022,Steel 4140,Supplier_B,Quenched & Tempered,18.72,31.1,839.0,732.5,17.2,0.379,23.9,12295.0,0.0,A. Silva,UTM-3,Fail,Grain flow irregular near edge
B2022-00339,2022-08-30,Copper C110,Supplier A,As-Received,1.24,8.5 HRC,223.4,202.2,33.6,0.466,15.3,,1.0,,UTM-1,Pass,
B2024-01354,05/07/2024,Stainless 304,Supplier B,Normalized,9.12,21.4,479.0,422.1,47.3,0.416,22.8,2194.0,6.0,R. Patel,UTM-2,Fail,
B2023-00870,03/21/2023,Titanium Ti-6Al-4V,Supplier C,As-Received,12.67,33.7,965.7,739.4,8.3,0.434,24.0,,0.0,T. Nguyen,UTM-3,Fail,
B2023-00639,2023-12-09,Copper C110,Supplier C,As-Received,9.79,8.5 HRC,209.8,169.7,35.4,0.288,21.3,,1.0,M. Chen,UTM-1,Pass,
B2023-00135,01/15/2023,Aluminum 6061,Supplier C,As-Received,7.35,13.4,279.5,215.8,12.5,0.394,28.0,,1.0,R. Patel,UTM-3,Fail,
B2023-00449,05/26/2023,Stainless 304,Supplier B,Annealed,7.47,20.5,439.7,353.8,50.9,0.306,20.6,1813.0,4.0,T. Nguyen,HT-4,Fail,
B2023-01068,02/20/2023,Copper C110,Supplier C,Quenched & Tempered,4.58,11.1,226.5,178.1,32.2,0.371,151.8,,0.0,M. Chen,UTM-3,Fail,
B2024-00805,07/20/2024,Stainless 304,Supplier B,Quenched & Tempered,4.16,22.3,557.8,,42.2,0.365,30.6,,0.0,R. Patel,UTM-2,Pass,
B2022-01011,06/17/2022,Stainless 304,Supplier B,As-Received,12.29,21.5 HRC,469.1,402.2,46.6,0.396,21.2,,3.0,A. Silva,UTM-3,Fail,
B2023-00976,08/28/2023,Aluminum 6061,Supplier C,As-Received,13.33,13.7,281.6,,17.7,0.305,17.2,94416.0,1.0,A. Silva,UTM-3,Pass,
B2022-01272,2022-01-13,Stainless 304,Supplier A,Annealed,15.55,19.5,592.8,505.1,45.4,0.33,,,1.0,R. Patel,UTM-3,Pass,
B2023-01107,09/11/2023,Aluminum 6061,Supplier C,Annealed,8.83,13.3,320.5,272.8,10.4,0.519,24.0,,3.0,J. Kim,HT-4,Pass,
B2023-00662,2023-09-10,Copper-C110,Supplier D,As-Received,6.97,9.6,235.8,188.4,33.4,0.454,25.5,19914.0,1.0,T. Nguyen,HT-4,Pass,
B2022-01356,02-Mar-2022,Stainless 304,Supplier C,Annealed,11.09,22.3HRC,592.7,516.2,43.3,0.465,17.2,,2.0,J. Kim,UTM-2,Pass,
B2023-01122,10/08/2023, Aluminum6061,Supplier B,Quenched & Tempered,5.96,12.3,293.5,253.0,12.5,0.449,27.6,36907.0,3.0,R. Patel,UTM-3,Pass,Slight misalignment during test
B2022-00056,11-Apr-2022,Copper C110,Supplier B,As-Received,3.95,9.3,169.5,118.4,35.1,0.383,30.3,22142.0,0.0,T. Nguyen,UTM-2,Fail,
B2023-00698,08/20/2023,Copper-C110,Supplier B,Normalized,1.06,6.3,137.4,107.7,36.5,0.263,26.9,,3.0,M. Chen,UTM-1,Fail,
B2023-00599,2023-06-22,Steel 4140,Supplier B,Normalized,10.3,29.5 HRC,799.3,659.3,23.7,0.385,26.0,16144.0,2.0,R. Patel,HT-4,Pass,
B2022-00112,10/19/2022,Titanium Ti-6Al-4V,Supplier C,Annealed,10.41,39.2,999.8,854.7,12.4,0.38,27.6,13588.0,1.0,A. Silva,HT-4,Pass,
B2023-00305,12/09/2023,Aluminum 6061,Supplier D,Normalized,10.15,14.3,319.7,231.5,12.9,0.417,24.3,7175.0,3.0,R. Patel,UTM-2,Pass,
B2024-00954,2024-03-21,Steel 4140,Supplier A,Quenched & Tempered,22.91,31.7,1090.3,916.9,17.1,0.437,23.5,,0.0,R. Patel,UTM-3,Pass,
B2023-00304,29-Nov-2023,Stainless 304,Supplier A,As-Received,4.91,22.9,662.6,,42.7,0.348,19.1,20873.0,2.0,M. Chen,UTM-1,Pass,
B2024-00013,01-Jul-2024,Aluminum 6061,Supplier_A,Normalized,7.42,14.9,373.2,324.5,14.8,0.484,28.0,,0.0,M. Chen,HT-4,Pass,
B2023-00926,2023-05-21,aluminum 6061,Supplier A,Normalized,3.62,13.8,322.6,288.5,13.2,0.346,20.5,37622.0,1.0,J. Kim,UTM-3,Pass,
B2023-00316,2023-06-14,Stainless 304,Supplier C,Annealed,3.1,18.8,556.4,492.4,47.5,0.397,26.2,,2.0,J. Kim,UTM-2,Fail,
B2023-01167,2023-05-05,Steel 4140,Supplier A,Quenched & Tempered,10.43,31.2HRC,1081.9,874.4,16.9,0.234,21.4,46552.0,2.0,T. Nguyen,UTM-1,Pass,
B2024-00914,04-Mar-2024,Titanium Ti-6Al-4V,Supplier A,Quenched & Tempered,15.29,34.8,1074.1,872.0,6.7,0.361,21.6,47937.0,2.0,T. Nguyen,UTM-2,Pass,
B2023-01156,06/22/2023,Stainless 304,Supplier D,Quenched & Tempered,12.39,24.4,656.8,533.5,43.7,0.194,20.6,,1.0,J. Kim,UTM-2,Pass,
B2022-01058,2022-01-21,Steel 4140,Supplier B,Quenched & Tempered,24.32,29.2,838.2,677.3,18.7,0.299,26.0,,2.0,R. Patel,UTM-2,Fail,
B2022-01046,18-Feb-2022,Stainless 304,Supplier B,As-Received,10.39,22.2,526.5,415.8,45.5,0.393,23.1,,3.0,T. Nguyen,UTM-1,Pass,
B2022-01321,09-Jul-2022,Steel 4140,Supplier_D,Normalized,22.09,31.9,1017.8,822.2,23.0,0.377,22.2,,0.0,M. Chen,UTM-1,Pass,
B2022-00169,20-Aug-2022,Steel 4140,Supplier C,Annealed,14.44,26.7,799.4,633.5,17.6,0.188,21.1,,0.0,A. Silva,UTM-3,Fail,
B2024-01323,23-Feb-2024,COPPER C110 ,Supplier C,Annealed,1.2,8.6,232.8,187.2,35.8,0.347,27.7,,2.0,T. Nguyen,UTM-3,Pass,
B2022-00371,09-Nov-2022, Stainless304,Supplier A,Normalized,17.82,22.4,664.4,574.1,,0.379,24.9,24097.0,0.0,A. Silva,UTM-3,Fail,
B2023-00018,2023-09-28,copper c110,Supplier C,Annealed,7.07,8.3,202.4,,30.6,0.266,25.5,,2.0,R. Patel,HT-4,Fail,
B2022-01008,10-Oct-2022,Copper C110,Supplier C,Quenched & Tempered,6.81,9.4,247.4,212.0,37.8,0.327,25.7,,1.0,T. Nguyen,UTM-3,Pass,
B2022-01248,2022-09-01,Copper C110,Supplier C,Annealed,7.76,8.6,226.0,209.1,33.2,0.528,21.2,,2.0,R. Patel,UTM-2,Fail,
B2022-00524,15-Jan-2022,Aluminum 6061,Supplier A,As-Received,14.85,15.0,332.5,292.8,11.7,0.308,16.4,,2.0,T. Nguyen,UTM-1,Pass,
B2023-00558,2023-12-08,Stainless 304,Supplier B,Normalized,12.72,20.4,512.2,402.1,47.1,0.509,23.1,11265.0,2.0,M. Chen,UTM-3,Fail,
B2022-01240,30-May-2022,Copper C110,Supplier C,Quenched & Tempered,5.7,8.5,240.8,188.1,32.0,0.421,21.0,8797.0,3.0,J. Kim,UTM-1,Pass,Slight misalignment during test
B2022-01044,09/15/2022,Titanium Ti-6Al-4V,Supplier B,Normalized,11.77,36.7,769.3,598.8,14.5,0.397,33.8,,2.0,M. Chen,UTM-1,Fail,
B2022-00927,08-Apr-2022,Stainless 304,Supplier C,Normalized,17.53,17.6,567.9,450.1,45.7,0.411,23.6,,0.0,T. Nguyen,UTM-2,Pass,
B2024-01242,10-Jul-2024, TitaniumTi6Al4V,Supplier A,As-Received,5.74,32.6,899.3,749.9,10.6,0.396,18.3,,1.0,R. Patel,UTM-3,Fail,Grain flow irregular near edge
B2024-00965,2024-05-16, Aluminum6061,Supplier A,Quenched & Tempered,12.99,13.8,376.7,305.3,15.9,0.528,24.3,,1.0,T. Nguyen,UTM-2,Pass,
B2022-00272,23-May-2022,steel 4140,Supplier B,Annealed,7.09,33.0 HRC,766.5,624.1,17.2,0.433,17.6,6352.0,3.0,M. Chen,UTM-2,Fail,
B2023-00602,2023-04-17,Aluminum 6061,Supplier C,Normalized,8.57,13.9,323.6,254.1,12.7,0.399,17.1,27055.0,1.0,A. Silva,HT-4,Pass,
B2024-01292,16-Mar-2024,Titanium Ti-6Al-4V,Supplier C,Annealed,14.93,38.2,952.8,804.2,15.5,0.282,20.7,70112.0,1.0,M. Chen,HT-4,Fail,
B2024-00012,01/17/2024,Steel 4140,Supplier A,Annealed,11.9,32.5,988.7,805.8,14.0,0.5,18.7,,0.0,M. Chen,UTM-2,Pass,
B2023-00185,2023-07-20,Steel 4140,Supplier A,Quenched & Tempered,24.06,37.0,1125.1,905.1,15.5,0.321,24.7,,2.0,T. Nguyen,HT-4,Pass,
B2024-00043,13-Mar-2024,Copper C110,Supplier A,Annealed,8.51,9.7,257.6,216.4,37.6,0.439,21.5,43956.0,1.0,T. Nguyen,UTM-3,Pass,
B2023-01218,2023-08-02,Copper C110,Supplier C,Quenched & Tempered,5.05,8.9,197.5,169.4,36.5,0.479,143.7,10209.0,1.0,T. Nguyen,UTM-3,Pass,"Cold room, verify temp log"
B2023-00037,05-Feb-2023,Stainless 304,Supplier D,As-Received,2.32,21.8,604.1,497.4,44.8,0.304,21.5,,2.0,M. Chen,UTM-3,Pass,
B2024-00618,08/06/2024,Steel 4140,Supplier A,Quenched & Tempered,15.7,32.6,1097.5,926.7,17.4,0.503,24.3,,1.0,R. Patel,HT-4,Pass,
B2022-00250,2022-07-24, Stainless304,Supplier D,Annealed,11.75,22.0,636.2,545.5,44.2,0.39,19.9,,2.0,T. Nguyen,UTM-1,Pass,
B2022-01019,18-Mar-2022,Titanium Ti-6Al-4V,Supplier B,As-Received,4.23,35.1,552.2,432.9,15.7,0.312,167.0,2367.0,2.0,M. Chen,UTM-1,Fail,
B2022-00289,2022-11-12,Aluminum 6061,Supplier B,Normalized,6.42,16.9,275.8,228.6,14.6,0.313,18.8,16017.0,,R. Patel,HT-4,Pass,
B2022-00148,10-Dec-2022, TitaniumTi6Al4V,Supplier C,Normalized,15.01,33.6,897.5,740.4,9.1,0.308,24.0,,1.0,R. Patel,UTM-2,Pass,
B2023-00798,02/04/2023,Copper C110,Supplier C,Annealed,7.29,8.1,203.6,146.7,35.5,0.389,25.1,21956.0,3.0,A. Silva,HT-4,Fail,
B2022-00025,09/01/2022,Steel 4140,Supplier C,Quenched & Tempered,21.81,32.9,1035.6,894.6,15.6,0.353,27.4,,1.0,A. Silva,HT-4,Pass,
B2022-00373,24-Jun-2022,Titanium Ti-6Al-4V,Supplier A,Normalized,16.71,36.2,985.6,879.2,8.2,0.274,26.3,,1.0,,UTM-1,Pass,
B2023-00934,2023-07-08,Steel 4140,Supplier A,Quenched & Tempered,8.42,32.4,1020.4,825.9,18.2,0.309,26.3,,1.0,M. Chen,UTM-2,Pass,
B2024-01292,16-Mar-2024,Titanium Ti-6Al-4V,Supplier C,Annealed,12.61,38.8,953.1,823.9,10.1,0.272,25.0,14295.0,2.0,T. Nguyen,UTM-3,Pass,
B2023-00963,09/04/2023,Steel 4140,Supplier A,Annealed,12.81,29.8,894.0,685.9,19.4,0.272,22.6,,0.0,J. Kim,UTM-1,Pass,
B2024-01377,2024-02-26,Titanium Ti-6Al-4V,Supplier A,As-Received,8.28,34.3,846.7,,,0.397,150.1,,1.0,T. Nguyen,UTM-3,Fail,
B2024-00551,30-Jun-2024,Aluminum 6061,Supplier B,Quenched & Tempered,2.88,13.1,255.0,183.6,,0.267,26.1,,3.0,T. Nguyen,UTM-1,Pass,
B2022-01084,2022-01-22,Steel 4140,Supplier A,Quenched & Tempered,19.54,28.7,1043.6,887.9,16.9,0.257,19.8,21646.0,2.0,R. Patel,UTM-3,Pass,
B2022-00564,23-Sep-2022,Stainless 304,Supplier C,As-Received,16.18,20.0,611.1,531.2,42.2,0.331,28.3,42275.0,1.0,J. Kim,HT-4,Pass,
B2024-00882,2024-03-08,Aluminum 6061,Supplier C,Annealed,6.4,16.1,304.0,237.7,17.8,0.286,23.2,,2.0,J. Kim,UTM-2,Pass,
B2023-00080,06-Sep-2023,Aluminum 6061,Supplier B,Quenched & Tempered,13.05,15.1,295.3,255.7,14.3,0.361,24.6,6952.0,4.0,T. Nguyen,UTM-3,Pass,
B2024-00041,01/06/2024,Stainless-304 ,Supplier A,As-Received,,23.4,662.4,557.0,44.7,0.309,23.4,26692.0,2.0,T. Nguyen,UTM-1,Pass,
B2022-00502,2022-09-07,Aluminum 6061,Supplier D,As-Received,14.97,13.1,315.9,223.9,17.3,0.423,26.5,,1.0,M. Chen,UTM-1,Pass,
B2022-00322,04/07/2022,Copper C110,Supplier B,Quenched & Tempered,6.0,8.7,224.3,,34.6,0.513,24.2,,4.0,J. Kim,HT-4,Pass,
B2023-00368,03/04/2023,Stainless 304,Supplier B,As-Received,10.62,19.6,429.7,356.5,47.3,0.26,28.6,,2.0,A. Silva,UTM-2,Fail,
B2022-01302,2022-05-19,Stainless 304,Supplier A,Normalized,17.86,21.5,652.5,531.8,43.9,0.361,23.8,18806.0,1.0,J. Kim,HT-4,Pass,
B2022-01217,2022-09-30,Copper C110, Supplier D,Quenched & Tempered,6.64,9.1,270.1,216.9,36.6,0.545,23.0,10629.0,3.0,J. Kim,HT-4,Pass,
B2024-01265,08/03/2024,Titanium Ti-6Al-4V,Supplier_C,Normalized,11.9,36.9,987.3,835.7,9.3,0.389,21.4,32996.0,,A. Silva,UTM-1,Fail,
B2023-00429,13-May-2023,Stainless 304,Supplier D,As-Received,9.29,21.6,611.4,522.1,45.6,0.334,28.4,,1.0,R. Patel,HT-4,Pass,
B2022-01371,07-Nov-2022,Titanium Ti-6Al-4V,Supplier B,Annealed,6.73,34.3 hrc,653.1,522.8,14.5,0.32,26.5,2178.0,4.0,R. Patel,UTM-2,Fail,
B2023-00441,2023-05-12,Titanium Ti-6Al-4V,Supplier D,Normalized,,35.2,998.6,867.2,12.5,0.301,24.1,,3.0,M. Chen,HT-4,Pass,
